date,home_team,away_team,home_score,away_score,tournament,city,country,id,home_result,away_result
2016-11-09,Sri Lanka,Macau,1.0,1.0,AFC Challenge Cup,Kuching,Malaysia,37223,draw,draw
2016-11-09,Syria,Singapore,2.0,0.0,Friendly,Paroi,Malaysia,37224,win,loss
2016-11-09,Tajikistan,Turkmenistan,3.0,0.0,Friendly,Dushanbe,Tajikistan,37225,win,loss
2016-11-09,United Arab Emirates,Bahrain,2.0,0.0,Friendly,Al Ain,United Arab Emirates,37226,win,loss
2016-11-10,Brazil,Argentina,3.0,0.0,FIFA World Cup qualification,Belo Horizonte,Brazil,37227,win,loss
2016-11-10,Colombia,Chile,0.0,0.0,FIFA World Cup qualification,Barranquilla,Colombia,37228,draw,draw
2016-11-10,IR Iran,Papua New Guinea,8.0,1.0,Friendly,Shah Alam,Malaysia,37229,win,loss
2016-11-10,Lebanon,Palestine,1.0,1.0,Friendly,Beirut,Lebanon,37230,draw,draw
2016-11-10,Paraguay,Peru,1.0,4.0,FIFA World Cup qualification,Asuncion,Paraguay,37231,loss,win
2016-11-10,Qatar,Russia,2.0,1.0,Friendly,Doha,Qatar,37232,win,loss
2016-11-10,Uruguay,Ecuador,2.0,1.0,FIFA World Cup qualification,Montevideo,Uruguay,37233,win,loss
2016-11-10,Uzbekistan,Jordan,1.0,0.0,Friendly,Tashkent,Uzbekistan,37234,win,loss
2016-11-10,Venezuela,Bolivia,5.0,0.0,FIFA World Cup qualification,MaturÃ­n,Venezuela,37235,win,loss
2016-11-11,Armenia,Montenegro,3.0,2.0,FIFA World Cup qualification,Yerevan,Armenia,37236,win,loss
2016-11-11,Czechia,Norway,2.0,1.0,FIFA World Cup qualification,Prague,Czechia,37237,win,loss
2016-11-11,Denmark,Kazakhstan,4.0,1.0,FIFA World Cup qualification,Copenhagen,Denmark,37238,win,loss
2016-11-11,England,Scotland,3.0,0.0,FIFA World Cup qualification,London,England,37239,win,loss
2016-11-11,France,Sweden,2.0,1.0,FIFA World Cup qualification,Saint-Denis,France,37240,win,loss
2016-11-11,Honduras,Panama,0.0,1.0,FIFA World Cup qualification,San Pedro Sula,Honduras,37241,loss,win
2016-11-11,Japan,Oman,4.0,0.0,Kirin Challenge Cup,Kashima,Japan,37242,win,loss
2016-11-11,Korea Republic,Canada,2.0,0.0,Friendly,Cheonan,Korea Republic,37243,win,loss
2016-11-11,Libya,Tunisia,0.0,1.0,FIFA World Cup qualification,Algiers,Algeria,37244,loss,win
2016-11-11,Malta,Slovenia,0.0,1.0,FIFA World Cup qualification,Attard,Malta,37245,loss,win
2016-11-11,Northern Ireland,Azerbaijan,4.0,0.0,FIFA World Cup qualification,Belfast,Northern Ireland,37246,win,loss
2016-11-11,Romania,Poland,0.0,3.0,FIFA World Cup qualification,Bucharest,Romania,37247,loss,win
2016-11-11,San Marino,Germany,0.0,8.0,FIFA World Cup qualification,Serravalle,San Marino,37248,loss,win
2016-11-11,Slovakia,Lithuania,4.0,0.0,FIFA World Cup qualification,Trnava,Slovakia,37249,win,loss
2016-11-11,Togo,Comoros,2.0,2.0,Friendly,Tunis,Tunisia,37250,draw,draw
2016-11-11,Trinidad and Tobago,Costa Rica,0.0,2.0,FIFA World Cup qualification,Port of Spain,Trinidad and Tobago,37251,loss,win
2016-11-11,USA,Mexico,1.0,2.0,FIFA World Cup qualification,Columbus,USA,37252,loss,win
2016-11-12,Albania,Israel,0.0,3.0,FIFA World Cup qualification,Elbasan,Albania,37253,loss,win
